objectid,parentid,identifier,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,relation,coverage
ba0011,,ba0011,La Follete denuncia al Ku Klux Klan,"La Follete, Robert M.",1924-08-15,La Follete Mentions a writing by Abraham Lincoln in 1855 and by Thomas Jefferson to Edward Dowse in 1803,"Speeches;
Race discrimination;
Violence;
Ku Klux Klan (1915- );
1924","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0011.jpg,/objects/ba0011.jpg,,,,
ba0012,,ba0012,Frightful Ku Klux Horror,,1871-05-18,Wife accidently poisons husband.,"Wit & humor;
 Ku-Klux-Klan;
 Robbery;
 Death;
 1871","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,eng,Arte Publico Press,,image,ba0012.jpg,/objects/ba0012.jpg,,,,
ba0013,,ba0013_001,A Los Hombres de Color en Cuba,,1867-01-10,Names of distinguished members of the military,"Essays;
Race relations; Latin America;
Colombia; History, Military;
Colombia; History, War of Independence; 1810-1822;
1866","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0013_001.jpg,/objects/ba0013_001.jpg,,,,
ba0013a,,ba0013_002,A Los Hombres de Color en Cuba,,1867-01-10,Names of distinguished members of the military,"Essays;
Race relations; Latin America;
Colombia; History, Military;
Colombia; History War of Independence; 1810-1822;
1867","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0013_002.jpg,/objects/ba0013_002.jpg,,,,
ba0014,,ba0016,Glosa cubana,Rebenque,1866-09-20,Poem for what some Cubans lost,"Poesa;
Filibusteros; Cuba; Historia; Siglo XIX;
Cuba; 1810-1899;
Trata de esclavos; Espana; Catalucia ; Historia; Siglo XIX","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0014.jpg,/objects/ba0014.jpg,,,,
ba0015,,ba0015_001,[Los tabaqueros de la isla de Cuba han sido tratados. . . ],,1866-08-10,"The injustices suffered by ""Los Tabaqueros"" in Cuba","Ensayos;
Espana; Colonias; America; Administracion;
Cuba; Esclavitud;
Cuba; Relaciones raciales;
Movimiento obrero; Cuba; Historia; Siglo XIX","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0015_001.jpg,/objects/ba0015_001.jpg,,,,
ba0015a,,ba0015_002,[Los tabaqueros de la isla de Cuba han sido tratados. . . ],,1866-08-10,"The injustices suffered by ""Los Tabaqueros"" in Cuba","Ensayos;
Espana; Colonias; America; Administracion;
Cuba; Esclavitud;
Cuba; Relaciones raciales;
Movimiento obrero; Cuba; Historia; Siglo XIX","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0015_002.jpg,/objects/ba0015_002.jpg,,,,
ba0016,,ba0016,[Los acontecimientos que han...],,1866-07-10,"Causes of the Revolution. ""The emancipation of slavery will ruin agriculture""","Editoriales;
Cuba; Historia; 1810-1899;
Esclavos;
Opinion publica","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0016.jpg,/objects/ba0016.jpg,,,,
ba0017,,ba0017_001,La esclavitud de los negros,,1866-06-21,Slavery in Spain and its morality.,"Editoriales;
Cuba; Historia; 1810-1899;
Problemas sociales;
Negros; Condiciones sociales;
Esclavitud","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0017_001.jpg,/objects/ba0017_001.jpg,,,,
ba0017a,,ba0017_002,La esclavitud de los negros,,1866-06-21,Slavery in Spain and its morality.,"Editoriales;
Cuba -- Historia -- 1810-1899;
Problemas sociales;
Negros -- Condiciones sociales;
Esclavitud","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0017_002.jpg,/objects/ba0017_002.jpg,,,,
